Symbol,Name,Book Value Per Share,Price / Book Value
CVLT,"Commvault Systems, Inc.",6.38571,15.8839
BCSA,Blockchain Coinvestors Acquisition Corp. I Class A,0.68714,15.86285
IRTC,"iRhythm Technologies, Inc.",6.78739,15.77042
ISPR,"Ispire Technology, Inc.",0.57863,15.76137
VRCA,Verrica Pharmaceuticals Inc.,0.46596,15.7095
TENB,"Tenable Holdings, Inc.",2.95647,15.57939
VSME,VS Media Holdings Limited Class A,0.02441,15.48546
AVDL,Avadel Pharmaceuticals plc,0.92284,15.30059
PLSE,"Pulse Biosciences, Inc.",0.80444,15.21555
WVE,Wave Life Sciences Ltd.,0.33257,15.18477
LFCR,"Lifecore Biomedical, Inc.",0.37022,15.18016
LILM,Lilium N.V. Class A,0.07774,15.1788
QSG,Quantasing Group Ltd. ADR,0.55782,15.13033
SAGA,Sagaliam Acquisition Corp. Class A,0.68199,15.07353
CDW,CDW Corporation,15.23117,14.92466
MDXH,MDxHealth S.A.,0.26414,14.91633
MPWR,"Monolithic Power Systems, Inc.",42.68216,14.77854
SLXN,Silexion Therapeutics Corp,0.7362,14.7718
BLTE,"Belite Bio, Inc. ADR",3.10232,14.74703
BL,"BlackLine, Inc.",4.24093,14.72319
DUOL,"Duolingo, Inc. Class A",15.41412,14.71703
ASNS,"Actelis Networks, Inc.",0.07614,14.70975
AIP,"Arteris, Inc.",0.40255,14.63172
NVFY,"Nova Lifestyle, Inc.",0.25883,14.56555
AVGO,Broadcom Inc.,5.7942,14.46895
RARE,"Ultragenyx Pharmaceutical, Inc.",3.34622,14.29075
LCA,"Landcadia Holdings IV, Inc. Class A",0.7013,14.28775
LULU,lululemon athletica inc.,33.52887,14.25727
OPTX,"Syntec Optics Holdings, Inc. Class A",0.35607,14.12644
HPH,Highest Performances Holdings Inc. Sponsored ADR,0.49535,14.09085
WLGS,"Wang & Lee Group, Inc.",0.05098,14.02511
NPCE,"NeuroPace, Inc.",0.74232,13.88889
RDHL,RedHill Biopharma Ltd. Sponsored ADR,2.62905,13.88334
WDFC,WD-40 Company,15.49593,13.86622
LSCC,Lattice Semiconductor Corporation,5.03874,13.69192
MLEC,Moolec Science SA,0.26903,13.67877
EXPE,"Expedia Group, Inc.",11.19336,13.56072
APLD,Applied Digital Corporation,0.62045,13.49021
KA,"Kineta, Inc.",0.27796,13.05943
ZEO,Zeo Energy Corp. Class A,0.86569,13.05895
BPTH,"Bio-Path Holdings, Inc.",0.71359,12.97664
WEN,Wendy's Company,1.5082,12.91606
AIRT,"Air T, Inc.",1.71882,12.91584
APEN,"Apollo Endosurgery, Inc.",0.77635,12.84215
SCWO,374Water Inc,0.11116,12.77438
ONYX,Onyx Acquisition Co. I Class A,0.8618,12.76398
KIRK,"Kirkland's, Inc.",0.24168,12.74412
AUUD,Auddia Inc.,0.4922,12.69809
MOVE,"Movano, Inc.",0.06176,12.6522
TSLA,"Tesla, Inc.",19.66531,12.63545
LZ,"LegalZoom.com, Inc.",0.89549,12.61879
PEP,"PepsiCo, Inc.",13.46652,12.61202
ANL,Adlai Nortye Ltd. Sponsored ADR,0.71728,12.53346
EXPO,"Exponent, Inc.",7.04101,12.50389
AFRI,Forafric Global PLC,0.84805,12.48747
MSFT,Microsoft Corporation,36.11474,12.37583
SYRS,"Syros Pharmaceuticals, Inc.",0.62997,12.36567
CLOE,Clover Leaf Capital Corp. Class A,0.95154,12.28535
AUGX,Augmedix Inc,0.47972,12.19461
BRZE,"Braze, Inc. Class A",4.433,12.19265
QXO,"QXO, Inc.",11.24635,12.17106
AXON,Axon Enterprise Inc,21.40775,12.06713
HAIA,Healthcare AI Acquisition Corp. Class A,0.90995,11.98417
ACAD,ACADIA Pharmaceuticals Inc.,2.62226,11.94008
NVCT,"Nuvectis Pharma, Inc.",0.70045,11.90663
DMRC,Digimarc Corporation,3.03631,11.89602
YHGJ,Yunhong Green CTI Ltd.,0.17967,11.8957
ACXP,Acurx Pharmaceuticals LLC,0.32255,11.87413
CYBR,CyberArk Software Ltd.,18.75091,11.6821
ITCI,"Intra-Cellular Therapies, Inc.",6.13639,11.67136
POOL,Pool Corporation,34.22742,11.64885
SNPS,"Synopsys, Inc.",40.42872,11.61155
NVAC,NorthView Acquisition Corp.,0.96112,11.61145
TGAN,Transphorm Inc,0.34384,11.60423
FNGR,FingerMotion Inc,0.23036,11.59055
QUIK,QuickLogic Corporation,1.1967,11.58185
PEGA,Pegasystems Inc.,4.2204,11.5771
DLO,DLocal Limited Class A,1.53731,11.50711
