Symbol,Name,Book Value Per Share,Price / Book Value
ELWS,"Earlyworks Co., Ltd. Sponsored ADR",0.70314,5.569304
BGXX,Bright Green Corp.,0.05935,5.561921
QCOM,QUALCOMM Incorporated,19.37253,5.558386
UPST,"Upstart Holdings, Inc.",7.359,5.552385
MIRM,"Mirum Pharmaceuticals, Inc.",5.3222,5.546578
HTOO,Fusion Fuel Green Plc Class A,0.20221,5.538796
ICG,Intchains Group Ltd. ADR,2.23557,5.533265
ICPT,"Intercept Pharmaceuticals, Inc.",2.24156,5.518478
SGH,"SMART Global Holdings, Inc.",4.28653,5.513321
KRMD,"KORU Medical Systems, Inc.",0.44568,5.508437
LOPE,"Grand Canyon Education, Inc.",23.97136,5.50824
IRBT,iRobot Corporation,7.02643,5.507776
RCKT,"Rocket Pharmaceuticals, Inc.",5.45593,5.493106
ASTS,"AST SpaceMobile, Inc. Class A",1.09793,5.492154
TECH,Bio-Techne Corporation,13.07609,5.479467
CAKE,Cheesecake Factory Incorporated,6.27934,5.471913
AILE,"iLearningEngines, Inc. Class A",1.91349,5.471677
ISEE,"IVERIC bio, Inc.",3.9129,5.471645
DERM,Journey Medical Corp.,1.0531,5.469566
AVAV,"AeroVironment, Inc.",29.24334,5.46415
FROG,JFrog Ltd.,6.39988,5.407914
MVIS,"MicroVision, Inc.",0.49197,5.406834
PDFS,"PDF Solutions, Inc.",5.97942,5.375103
ASPI,"ASP Isotopes, Inc.",0.33309,5.373923
ACVA,"ACV Auctions, Inc. Class A",2.82081,5.370798
UPWK,"Upwork, Inc.",2.77604,5.356551
VKTX,"Viking Therapeutics, Inc.",3.48023,5.347348
SNAL,"Snail, Inc. Class A",0.22632,5.346412
BMAQ,Blockchain Moon Acquisition Corp.,1.91653,5.337772
NVMI,Nova Ltd.,25.87566,5.309623
LNTH,Lantheus Holdings Inc,11.67846,5.308919
INMB,"INmune Bio, Inc.",2.12464,5.299721
SEZL,Sezzle Inc.,3.87789,5.291537
ENTG,"Entegris, Inc.",22.66901,5.28563
TNON,"Tenon Medical, Inc.",0.29919,5.280925
XMTR,"Xometry, Inc. Class A",6.83684,5.252427
BRKH,BurTech Acquisition Corp. Class A,2.0546,5.229728
SOTK,Sono-Tek Corporation,1.03353,5.224812
SLP,"Simulations Plus, Inc.",8.5279,5.216994
MODD,Modular Medical Inc,0.35532,5.206574
AMPL,Amplitude Inc Class A,2.45607,5.179006
HEPS,D-MARKET Elektronik Hizmetler ve Ticaret AS Sponsored ADR,0.34796,5.173008
EVER,"EverQuote, Inc. Class A",2.36719,5.170688
CLDX,"Celldex Therapeutics, Inc.",7.67976,5.164224
NDLS,Noodles & Co. Class A,0.60369,5.151651
RZLV,Rezolve AI Limited,2.08486,5.132239
PRGS,Progress Software Corporation,10.49675,5.131112
AIRS,"Airsculpt Technologies, Inc.",1.46441,5.114688
TRVG,trivago N.V. Sponsored ADR Class A,0.47778,5.106953
HZNP,Horizon Therapeutics Public Limited Company,22.32063,5.098423
CHTR,"Charter Communications, Inc. Class A",76.33648,5.091668
RGEN,Repligen Corporation,35.34771,5.086609
INFN,Infinera Corporation,0.93765,5.065856
SDST,Stardust Power Inc.,2.18961,5.055649
MNTK,"Montauk Renewables, Inc.",1.76242,5.055549
ALEC,"Alector, Inc.",1.58057,5.048811
SIBN,"SI-BONE, Inc.",4.16223,5.04297
JBHT,"J.B. Hunt Transport Services, Inc.",39.75738,5.023973
COLL,"Collegium Pharmaceutical, Inc.",6.13241,5.019234
TROO,"TROOPS, Inc.",0.59626,5.014591
IMXI,"International Money Express, Inc.",4.40635,5.013219
RUM,"Rumble, Inc. Class A",0.89776,5.001337
PWUP,PowerUp Acquisition Corp. Class A,2.17757,5.000988
VRDN,"Viridian Therapeutics, Inc.",4.36234,4.992733
LGVN,Longeveron Inc. Class A,2.72471,4.991357
LIN,Linde plc,82.3306,4.988546
MDJH,MDJM Ltd,0.33209,4.978469
RXRX,"Recursion Pharmaceuticals, Inc. Class A",1.98211,4.974497
KARO,Karooooo Ltd.,4.99601,4.967965
WENA,"ANEW Medical, Inc.",2.1711,4.962922
AXNX,"Axonics, Inc.",12.55776,4.955502
GEHC,GE Healthcare Technologies Inc.,15.66514,4.9358
EUCR,Eucrates Biomedical Acquisition Corporation,2.02935,4.922759
MSTR,MicroStrategy Incorporated Class A,12.83479,4.921156
LPRO,Open Lending Corporation,1.73018,4.918563
LAES,SEALSQ Corp.,0.26051,4.913439
ACLS,"Axcelis Technologies, Inc.",26.46113,4.901151
ALIM,"Alimera Sciences, Inc.",0.88187,4.898681
ANTX,"AN2 Therapeutics, Inc.",4.19284,4.886902
ARHS,"Arhaus, Inc. Class A",2.42533,4.885933
EVLV,"Evolv Technologies Holdings, Inc.",0.96704,4.880874
RKLB,"Rocket Lab USA, Inc.",1.13422,4.875597
ERII,"Energy Recovery, Inc.",3.86435,4.875335
PRLH,Pearl Holdings Acquisition Corp. Class A,2.19772,4.873232
RNER,Mount Rainier Acquisition Corp.,2.53802,4.869938
VMAR,"Vision Marine Technologies, Inc.",0.76503,4.862555
CSGP,"CoStar Group, Inc.",17.98236,4.859763
SHLS,"Shoals Technologies Group, Inc. Class A",3.20365,4.850717
CWST,"Casella Waste Systems, Inc. Class A",17.61861,4.850553
PRVA,"Privia Health Group, Inc.",4.74921,4.849227
PCVX,"Vaxcyte, Inc.",13.0076,4.827947
HARP,"Harpoon Therapeutics, Inc.",1.50866,4.810229
ECOR,"electroCore, Inc.",1.23979,4.800733
OBIO,"Orchestra BioMed Holdings, Inc.",1.90184,4.800614
IRIX,IRIDEX Corporation,0.58587,4.796286
KLXE,"KLX Energy Services Holdings, Inc.",2.35152,4.788392
IDCC,"InterDigital, Inc.",22.73452,4.774238
CGNX,Cognex Corporation,8.769,4.75995
MTEM,"Molecular Templates, Inc.",0.78373,4.759292
PPSI,"Pioneer Power Solutions, Inc.",1.43182,4.742216
NFE,New Fortress Energy Inc. Class A,8.00046,4.715979
SDGR,"Schrodinger, Inc.",7.60392,4.708098
THRY,"Thryv Holdings, Inc.",4.32544,4.704724
EA,Electronic Arts Inc.,28.20036,4.70455
ALRM,"Alarm.com Holdings, Inc.",13.80732,4.680126
WBUY,Webuy Global Ltd.,0.10902,4.678958
CDZI,Cadiz Inc.,0.59908,4.673833
NDSN,Nordson Corporation,45.5744,4.66468
VRAR,"Glimpse Group, Inc.",0.76343,4.663165
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.57324,4.657735
AMPH,"Amphastar Pharmaceuticals, Inc.",13.30218,4.649614
CPRX,"Catalyst Pharmaceuticals, Inc.",3.62094,4.642441
GERN,Geron Corporation,0.45503,4.637057
BATRK,Atlanta Braves Holdings Inc Class C,8.54315,4.632952
NCRA,"Nocera, Inc.",0.28496,4.632229
IPWR,Ideal Power Inc.,1.67754,4.631782
ZBRA,Zebra Technologies Corporation Class A,59.09045,4.62562
SVRA,"Savara, Inc.",1.01613,4.625392
BETR,Better Home & Finance Holding Company Class A,0.17653,4.625279
ALGM,"Allegro MicroSystems, Inc.",5.85218,4.60683
CABA,"Cabaletta Bio, Inc.",4.93898,4.596091
UFPT,"UFP Technologies, Inc.",37.44754,4.59416
ON,ON Semiconductor Corporation,18.25246,4.576369
VVPR,VivoPower International Plc,0.14604,4.559371
ADAP,Adaptimmune Therapeutics PLC Sponsored ADR,0.17394,4.559043
BCPC,Balchem Corp,32.67688,4.552148
INTE,Integral Acquisition Corp. 1 Class A,2.37693,4.549987
THCP,"Thunder Bridge Capital Partners IV, Inc. Class A",2.24692,4.548449
MASI,Masimo Corporation,25.84848,4.534503
MBTC,Nocturne Acquisition Corp.,2.3586,4.515433
CRNX,Crinetics Pharmaceuticals Inc,7.90768,4.499424
KRYS,"Krystal Biotech, Inc.",27.57552,4.498918
MNTS,Momentus Inc Class A,0.38472,4.496777
CARM,"Carisma Therapeutics, Inc.",0.65334,4.484648
BROG,Brooge Energy Ltd.,1.19378,4.481563
GTHX,"G1 Therapeutics, Inc.",0.68147,4.475619
TTWO,"Take-Two Interactive Software, Inc.",33.18443,4.474689
MRUS,Merus N.V.,6.16234,4.462591
AKYA,Akoya Biosciences Inc,1.09472,4.457761
TTGT,"TechTarget, Inc.",7.84536,4.443391
GILD,"Gilead Sciences, Inc.",18.32504,4.420727
TSHA,"Taysha Gene Therapies, Inc.",0.40082,4.415947
NVCR,NovoCure Ltd.,3.38542,4.410088
ZVRA,"Zevra Therapeutics, Inc.",1.48945,4.397596
ULY,Urgent.ly Inc.,0.72146,4.393868
STRL,"Sterling Infrastructure, Inc.",20.01271,4.393708
FRPT,Freshpet Inc,19.75538,4.391715
AOGO,Arogo Capital Acquisition Corp. Class A,2.45742,4.378576
TRNS,"Transcat, Inc.",25.47363,4.374328
BNRG,Brenmiller Energy Ltd,1.33845,4.370728
NEPH,"Nephros, Inc.",0.7927,4.364829
SSTI,"SoundThinking, Inc.",5.85803,4.359828
ERNA,Eterna Therapeutics Inc.,0.41257,4.350777
IXAQ,IX Acquisition Corp. Class A,2.55063,4.332263
SLAM,Slam Corp. Class A,2.51553,4.313206
SNAX,"Stryve Foods, Inc. Class A",0.60464,4.300079
CBRL,"Cracker Barrel Old Country Store, Inc.",21.83954,4.292673
GTAC,Global Technology Acquisition Corp. I Class A,2.58561,4.285256
SWTX,"Springworks Therapeutics, Inc.",8.52153,4.283268
EXAS,Exact Sciences Corporation,17.34248,4.265826
MBOT,Microbot Medical Inc,0.38446,4.265723
AMD,"Advanced Micro Devices, Inc.",34.58663,4.262052
ENSG,"Ensign Group, Inc.",26.35944,4.256919
EYPT,"EyePoint Pharmaceuticals, Inc.",5.43039,4.25568
LMAT,"LeMaitre Vascular, Inc.",13.34244,4.254095
SMLR,"Semler Scientific, Inc.",10.42771,4.247337
QNST,"QuinStreet, Inc.",3.90863,4.244454
ARVN,"Arvinas, Inc.",9.70588,4.240728
SFM,"Sprouts Farmers Market, Inc.",11.34793,4.23954
PRFT,"Perficient, Inc.",15.52701,4.239065
PAX,Patria Investments Ltd. Class A,3.65919,4.238643
CARG,"CarGurus, Inc. Class A",5.70238,4.236827
SOVO,"Sovos Brands, Inc.",5.22386,4.217188
NEXT,NextDecade Corp.,1.13222,4.212962
GANX,"Gain Therapeutics, Inc.",0.77611,4.206878
TRUP,"Trupanion, Inc.",7.25586,4.204877
NATI,National Instruments Corporation,8.82504,4.181284
GPCR,"Structure Therapeutics, Inc. Sponsored ADR",9.7608,4.175887
TPCS,TechPrecision Corporation,1.69435,4.172692
LUNG,Pulmonx Corp.,3.07181,4.150647
MAPS,"WM Technology, Inc. Class A",0.17355,4.150389
TAYD,"Taylor Devices, Inc.",12.3032,4.138761
LMB,"Limbach Holdings, Inc.",10.98885,4.137831
OPCH,Option Care Health Inc,8.14359,4.136996
DLTR,"Dollar Tree, Inc.",33.56062,4.133118
PXDT,"Pixie Dust Technologies, Inc. Sponsored ADR",0.61465,4.116164
AGBA,AGBA Group Holding Limited,0.11801,4.114058
SOBR,"SOBR Safe, Inc.",0.10965,4.111445
APA,APA Corporation,8.74575,4.102564
ALT,"Altimmune, Inc.",2.74627,4.096466
IRON,"Disc Medicine, Inc.",14.16739,4.076968
ABCM,Abcam PLC Sponsored ADR,3.81767,4.075784
BGC,"BGC Group, Inc. Class A",1.77177,4.075021
MLAB,"Mesa Laboratories, Inc.",26.95213,4.071292
VCIG,VCI Global Limited,0.55548,4.068553
MGOL,MGO Global Inc.,1.05859,4.062007
PAYA,Paya Holdings Inc Class A,1.94277,4.050917
SP,SP Plus Corporation,12.66738,4.045825
ANIX,"Anixa Biosciences, Inc.",0.7814,4.044024
ARBE,Arbe Robotics Ltd.,0.54017,4.035767
PTWO,"Pono Capital Two, Inc. Class A",2.66162,4.033258
LXRX,"Lexicon Pharmaceuticals, Inc.",0.38016,4.024621
HYMC,Hycroft Mining Holding Corporation Class A,0.61032,4.014287
ABUS,Arbutus Biopharma Corporation,0.62412,4.00564
MODV,ModivCare Inc.,10.99652,4.000357
TNGX,"Tango Therapeutics, Inc.",2.47653,3.997529
GNTA,Genenta Science SpA Sponsored ADR,1.23898,3.995222
IVCP,Swiftmerge Acquisition Corporation Class A,2.71272,3.986773
MOBX,"Mobix Labs, Inc.",2.57038,3.972175
RSTN,RDE Inc,1.00834,3.966916
CASI,"CASI Pharmaceuticals, Inc.",1.8063,3.963904
GLYC,"GlycoMimetics, Inc.",0.59655,3.956081
STAA,STAAR Surgical Company,7.90258,3.949343
STKL,SunOpta Inc.,1.38871,3.948332
DUOT,Duos Technologies Group Inc,0.7346,3.947727
MRVL,"Marvell Technology, Inc.",17.13622,3.940776
HWKN,"Hawkins, Inc.",19.52962,3.932488
PTGX,"Protagonist Therapeutics, Inc.",5.83409,3.930347
HRMY,"Harmony Biosciences Holdings, Inc.",8.22617,3.926493
CASY,"Casey's General Stores, Inc.",81.47809,3.922281
ALXO,"ALX Oncology Holdings, Inc.",3.79789,3.920598
BYNO,byNordic Acquisition Corp. Class A,2.82021,3.918148
MGNX,"MacroGenics, Inc.",2.4587,3.912637
SITM,SiTime Corporation,31.20271,3.912481
SEIC,SEI Investments Company,16.25147,3.910415
AKAM,"Akamai Technologies, Inc.",30.39785,3.893368
NDRA,ENDRA Life Sciences Inc.,27.23247,3.892412
CROX,"Crocs, Inc.",24.03377,3.886615
BEAT,"HeartBeam, Inc.",0.6053,3.882372
KDNY,"Chinook Therapeutics, Inc.",6.75018,3.881378
PBYI,"Puma Biotechnology, Inc.",1.12163,3.860453
IMNM,"Immunome, Inc.",2.77172,3.860419
SUMO,"Sumo Logic, Inc.",3.06492,3.859807
CCCS,CCC Intelligent Solutions Holdings Inc,2.95505,3.854419
ILMN,"Illumina, Inc.",36.13208,3.853639
AVDX,"AvidXchange Holdings, Inc.",3.21654,3.851965
ATEX,Anterix Inc.,8.72665,3.851421
ALKS,Alkermes Public Limited Company,7.20258,3.851398
GRTS,"Gritstone bio, Inc.",0.53133,3.839422
NBST,Newbury Street Acquisition Corp.,2.77701,3.831459
BBSI,"Barrett Business Services, Inc.",7.57532,3.821621
CRIS,"Curis, Inc.",3.33724,3.820522
EGAN,eGain Corporation,1.9628,3.815977
KROS,"Keros Therapeutics, Inc.",10.43347,3.810813
AMBA,"Ambarella, Inc.",13.81696,3.804021
CACC,Credit Acceptance Corporation,140.04507,3.80399
NVTS,Navitas Semiconductor Corporation,2.12402,3.799399
AVXL,Anavex Life Sciences Corp.,1.7285,3.789413
SRDX,"SurModics, Inc.",8.47121,3.788125
CDXC,ChromaDex Corporation,0.37951,3.768017
CPB,Campbell Soup Company,12.28523,3.764683
SAIC,Science Applications International Corp.,34.32692,3.758275
VALU,"Value Line, Inc.",9.63578,3.756831
BHAC,Focus Impact BH3 Acquisition Company Class A,2.78855,3.751053
VIVO,"Meridian Bioscience, Inc.",8.41368,3.747468
RDNT,"RadNet, Inc.",9.28089,3.746408
PACB,"Pacific Biosciences of California, Inc.",2.61931,3.745261
XENE,Xenon Pharmaceuticals Inc.,12.31138,3.741254
ROAD,"Construction Partners, Inc. Class A",9.79729,3.731644
ADEA,Adeia Inc.,3.321,3.730804
SHOO,"Steven Madden, Ltd.",11.25932,3.730243
WKME,WalkMe Ltd.,2.86302,3.726834
ABL,"Abacus Life, Inc. Class A",2.59213,3.726665
IDYA,"IDEAYA Biosciences, Inc.",9.54945,3.725869
APGE,"Apogee Therapeutics, Inc.",7.49991,3.725378
GRNA,"GreenLight Biosciences Holdings, PBC",0.31706,3.721693
EEFT,"Euronet Worldwide, Inc.",27.30353,3.717102
BRLT,"Brilliant Earth Group, Inc. Class A",1.00079,3.717063
RUTH,"Ruth's Hospitality Group, Inc.",4.14325,3.716889
CCTS,Cactus Acquisition Corp. 1 Ltd. Class A,3.0919,3.712927
MATH,Metalpha Technology Holding Limited,0.27983,3.710824
MYRG,MYR Group Inc.,39.03038,3.705575
DCPH,"Deciphera Pharmaceuticals, Inc.",4.35902,3.700373
REGN,"Regeneron Pharmaceuticals, Inc.",237.41408,3.699401
OCS,Oculis Holding AG,3.03856,3.69583
VICR,Vicor Corporation,12.16453,3.694347
FELE,"Franklin Electric Co., Inc.",26.19493,3.689645
DAWN,"Day One Biopharmaceuticals, Inc.",3.97285,3.674944
BMRN,BioMarin Pharmaceutical Inc.,26.25449,3.672515
SRM,"SRM Entertainment, Inc.",0.42232,3.670203
FRHC,Freedom Holding Corp.,19.2907,3.658239
MMSI,"Merit Medical Systems, Inc.",20.775,3.656318
MNTV,Momentive Global Inc.,1.91542,3.654551
ATRC,"AtriCure, Inc.",9.80869,3.63861
OCGN,Ocugen Inc,0.1581,3.636939
TPST,"Tempest Therapeutics, Inc.",1.21423,3.623696
GENK,"GEN Restaurant Group, Inc. Class A",2.1657,3.615459
LBPH,"Longboard Pharmaceuticals, Inc.",1.66915,3.612617
LITE,"Lumentum Holdings, Inc.",14.09867,3.611688
FLYW,Flywire Corp.,6.4137,3.609461
SPNS,Sapiens International Corporation NV,8.02519,3.606145
TALK,"Talkspace, Inc.",0.70443,3.605752
ROCL,Roth CH Acquisition V Co.,2.95818,3.600187
NTRB,"Nutriband, Inc.",0.72667,3.591727
HCP,"HashiCorp, Inc. Class A",6.08767,3.590865
WWD,"Woodward, Inc.",34.61167,3.590119
VSTM,"Verastem, Inc.",2.26944,3.586788
TW,"Tradeweb Markets, Inc. Class A",25.34503,3.585713
IMTX,Immatics N.V.,2.93699,3.585303
ABTS,Abits Group Inc,0.31803,3.584882
KYMR,"Kymera Therapeutics, Inc.",7.10567,3.583054
PWP,Perella Weinberg Partners Class A,3.4195,3.576546
XP,XP Inc. Class A,7.30057,3.570954
HEES,"H&E Equipment Services, Inc.",14.65846,3.56927
IOVA,Iovance Biotherapeutics Inc,2.28242,3.562009
HURN,Huron Consulting Group Inc.,28.86091,3.561911
CTCX,Carmell Corporation Class A,1.07182,3.554701
AIRE,reAlpha Tech Corp.,0.55994,3.553952
AEIS,"Advanced Energy Industries, Inc.",30.66032,3.552474
FORM,"FormFactor, Inc.",11.74516,3.55125
MIRA,"MIRA Pharmaceuticals, Inc.",0.29595,3.547897
MRAM,"Everspin Technologies, Inc.",2.55786,3.534204
MARA,Marathon Digital Holdings Inc,6.65455,3.529916
EBAY,eBay Inc.,12.37137,3.525883
ARQT,Arcutis Biotherapeutics Inc,0.9161,3.525816
TARS,"Tarsus Pharmaceuticals, Inc.",5.758,3.516846
CTLP,"Cantaloupe, Inc.",2.26895,3.508231
ALPN,"Alpine Immune Sciences, Inc.",5.43421,3.50741
SLAB,Silicon Laboratories Inc.,37.89328,3.490592
JBSS,"John B. Sanfilippo & Son, Inc.",27.80316,3.485575
MRKR,"Marker Therapeutics, Inc.",1.57894,3.48335
GOOD,Gladstone Commercial Corporation,3.80486,3.47976
CCEP,Coca-Cola Europacific Partners plc,19.18701,3.478395
PRTA,Prothena Corp. Plc,10.45721,3.475114
ARKO,ARKO Corp,2.37667,3.471243
JJSF,J & J Snack Foods Corp.,47.15073,3.470784
GDRX,"GoodRx Holdings, Inc. Class A",1.93348,3.465254
PHVS,Pharvaris N.V.,8.11316,3.457346
FORA,Forian Inc,0.84668,3.45467
AMSC,American Superconductor Corporation,3.91302,3.452576
DPCS,DP Cap Acquisition Corp. I Class A,3.15486,3.451817
MDLZ,"Mondelez International, Inc. Class A",21.01028,3.44736
FUSN,Fusion Pharmaceuticals Inc,2.79146,3.442643
SRAD,Sportradar Group AG Class A,3.21756,3.43428
INNV,InnovAge Holding Corp.,2.18445,3.433358
ISSC,"Innovative Solutions and Support, Inc.",2.21454,3.431864
ZURA,Zura Bio Limited Class A,1.36098,3.431351
GSUN,Golden Sun Health Technology Group Limited Class A,0.23201,3.430887
AAOI,"Applied Optoelectronics, Inc.",5.63251,3.430087
AUPH,Aurinia Pharmaceuticals Inc.,2.62773,3.421204
TLIS,Talis Biomedical Corp.,2.18121,3.415535
HQI,"HireQuest, Inc.",4.49595,3.414184
NCNO,nCino Inc,9.22886,3.411039
NMTC,NeuroOne Medical Technologies Corporation,0.26117,3.409274
FFIV,"F5, Inc.",47.29562,3.407081
TRIP,"TripAdvisor, Inc.",6.3262,3.403307
LRHC,La Rosa Holdings Corp.,0.44083,3.402899
APYX,Apyx Medical Corporation,0.77073,3.399375
PRQR,ProQR Therapeutics N.V.,0.58273,3.3978
VITL,"Vital Farms, Inc.",4.62225,3.394451
CEG,Constellation Energy Corporation,34.46372,3.391683
ESLA,"Estrella Immunopharma, Inc.",3.03477,3.390702
TVTX,"Travere Therapeutics, Inc.",2.66442,3.374093
CADL,"Candel Therapeutics, Inc.",0.43627,3.369473
AUR,"Aurora Innovation, Inc. Class A",1.29823,3.366122
ADGM,"Adagio Medical Holdings, Inc",3.23983,3.364374
CUE,"Cue Biopharma, Inc.",0.78545,3.36113
ZI,ZoomInfo Technologies Inc,5.5071,3.357484
HLIT,Harmonic Inc.,3.88654,3.355169
CLMB,"Climb Global Solutions, Inc.",16.34872,3.353779
VERU,Veru Inc,0.2144,3.353545
LYRA,"Lyra Therapeutics, Inc.",1.56289,3.352763
LQDT,"Liquidity Services, Inc.",5.2601,3.349746
ARBG,Aequi Acquisition Corp. Class A,2.94495,3.344709
HOLX,"Hologic, Inc.",20.75595,3.34362
USLM,"United States Lime & Minerals, Inc.",13.78211,3.342739
ROP,"Roper Technologies, Inc.",163.18803,3.340748
APDN,"Applied DNA Sciences, Inc.",7.24992,3.337968
IDAI,"T Stamp, Inc. Class A",0.41051,3.337312
MIST,"Milestone Pharmaceuticals, Inc.",0.50088,3.334132
VC,Visteon Corporation,37.47292,3.333074
CHX,ChampionX Corporation,8.77353,3.329333
CNTA,Centessa Pharmaceuticals PLC ADR,2.39174,3.328121
NSIT,"Insight Enterprises, Inc.",53.25968,3.326907
BTDR,Bitdeer Technologies Group Class A,2.97023,3.319608
EGHT,"8x8, Inc.",0.8144,3.315324
NEGG,"Newegg Commerce, Inc.",0.38006,3.315266
PIK,Kidpik Corp.,0.55374,3.31383
EVBG,"Everbridge, Inc.",7.33767,3.313041
SNDX,Syndax Pharmaceuticals Inc,6.53328,3.30768
INDI,"indie Semiconductor, Inc. Class A",2.45288,3.306318
KZIA,Kazia Therapeutics Ltd Sponsored ADR,0.35177,3.297609
UPBD,"Upbound Group, Inc.",10.30965,3.294971
SURG,SurgePays Inc,1.96131,3.288618
WTMA,Welsbach Technology Metals Acquisition Corp.,3.27246,3.283463
BWMN,"Bowman Consulting Group, Ltd.",10.82245,3.282066
HCWB,"HCW Biologics, Inc.",0.37368,3.278206
GOSS,"Gossamer Bio, Inc.",0.27847,3.276834
DTCK,Davis Commodities Limited,0.3174,3.276623
HRYU,"Hanryu Holdings, Inc.",0.24747,3.273124
GNTX,Gentex Corporation,9.9912,3.268877
LWAY,"Lifeway Foods, Inc.",4.11381,3.259752
SCPL,SciPlay Corp. Class A,4.94118,3.254283
FTLF,"FitLife Brands, Inc.",5.87995,3.248327
RDVT,"Red Violet, Inc.",6.16369,3.239942
OSW,OneSpaWorld Holdings Ltd.,4.35224,3.239711
XM,"Qualtrics International, Inc. Class A",3.20619,3.237488
CRAI,"CRA International, Inc.",30.58738,3.231725
MGTX,MeiraGTx Holdings Plc,2.17256,3.231211
KRT,"Karat Packaging, Inc.",7.71922,3.219237
PCAR,PACCAR Inc,30.34359,3.218143
GLPI,"Gaming and Leisure Properties, Inc.",15.34351,3.216344
CVCO,"Cavco Industries, Inc.",124.19733,3.213113
EXEL,"Exelixis, Inc.",7.47676,3.208609
HQY,HealthEquity Inc,23.62814,3.198728
JAMF,Jamf Holding Corp,5.65273,3.194916
NAMS,NewAmsterdam Pharma Company N.V.,3.49695,3.194212
XAIR,"Beyond Air, Inc.",0.5457,3.188565
TREE,"LendingTree, Inc.",9.51827,3.185453
NUZE,Nuzee Inc,2.23652,3.181282
SILK,"Silk Road Medical, Inc.",3.85929,3.179341
HBIO,"Harvard Bioscience, Inc.",1.68395,3.177054
CENX,Century Aluminum Company,3.83645,3.164384
BTBT,"Bit Digital, Inc.",1.33891,3.159286
SHMD,SCHMID Group N.V. Class A,3.50446,3.153125
GLLI,Globalink Investment Inc.,3.44149,3.149798
LXEO,"Lexeo Therapeutics, Inc.",4.2608,3.149643
AQMS,"Aqua Metals, Inc.",0.2416,3.145695
ACDC,ProFrac Holding Corp. Class A,7.59849,1.116011
COLB,"Columbia Banking System, Inc.",23.94727,1.114115
CCBG,"Capital City Bank Group, Inc.",26.43222,1.113414
BANR,Banner Corporation,48.11556,1.113153
SLRN,"ACELYRIN, INC.",6.70649,1.112355
ATNI,"ATN International, Inc.",35.08567,1.11071
JOUT,Johnson Outdoors Inc. Class A,49.27813,1.109823
FBNC,First Bancorp,33.38313,1.108644
TRVI,"Trevi Therapeutics, Inc.",1.20888,1.108464
CAC,Camden National Corporation,33.98775,1.107164
SABS,"SAB Biotherapeutics, Inc.",6.21099,1.106909
EEIQ,EpicQuest Education Group International Limited,0.76205,1.106358
BCAL,California BanCorp,15.68677,1.106028
NUWE,"Nuwellis, Inc.",18.41632,1.103994
QCRH,"QCR Holdings, Inc.",52.93346,1.103083
HWC,Hancock Whitney Corporation,44.0519,1.103017
RBBN,"Ribbon Communications, Inc.",2.63106,1.102217
TRIN,"Trinity Capital, Inc.",13.19322,1.101323
ESGL,ESGL Holdings Limited,0.6324,1.100569
MBRX,"Moleculin Biotech, Inc.",11.70497,1.100046
HAIN,"Hain Celestial Group, Inc.",11.37644,1.099641
OSS,"One Stop Systems, Inc.",1.91577,1.096165
TOWN,TowneBank,27.23832,1.092578
ARKR,Ark Restaurants Corp.,13.95339,1.092208
BFST,"Business First Bancshares, Inc.",22.57547,1.091893
WBA,"Walgreens Boots Alliance, Inc.",23.18005,1.091887
FSBW,"FS Bancorp, Inc.",33.90635,1.090061
CZFS,"Citizens Financial Services, Inc.",58.82672,1.089288
BLNK,Blink Charging Co,3.11789,1.087274
NRBO,"NeuroBo Pharmaceuticals, Inc.",3.40092,1.086941
HBAN,Huntington Bancshares Incorporated,11.70943,1.086304
KOSS,Koss Corporation,3.40678,1.08607
ENTA,"Enanta Pharmaceuticals, Inc.",10.2918,1.08533
IPSC,"Century Therapeutics, Inc.",3.06203,1.084248
REFI,"Chicago Atlantic Real Estate Finance, Inc.",14.9393,1.083049
BOKF,BOK Financial Corporation,79.15446,1.082062
OTRK,"Ontrak, Inc.",0.37099,1.080892
NODK,"NI Holdings, Inc.",12.02146,1.080568
SYNH,"Syneos Health, Inc. Class A",33.96132,1.080052
BUSE,First Busey Corporation,23.02473,1.077971
SBLK,Star Bulk Carriers Corp.,19.75876,1.075978
LAKE,"Lakeland Industries, Inc.",16.76226,1.074437
DTI,Drilling Tools International Corporation,2.97932,1.074071
CSTR,"CapStar Financial Holdings, Inc.",17.46037,1.073288
PALT,"Paltalk, Inc.",2.18329,1.071777
SELF,"Global Self Storage, Inc.",4.32564,1.071518
FLWS,"1-800-FLOWERS.COM, Inc. Class A",7.28422,1.070808
FMAO,"Farmers & Merchants Bancorp, Inc.",23.16512,1.070575
TTMI,"TTM Technologies, Inc.",14.79844,1.068356
PEBK,"Peoples Bancorp of North Carolina, Inc.",28.97841,1.067691
BWEN,"Broadwind, Inc.",2.59752,1.066402
SPCB,SuperCom Ltd.,0.36235,1.065821
TWIN,"Twin Disc, incorporated",11.05481,1.065599
MRCY,"Mercury Systems, Inc.",25.35179,1.064619
UBSI,"United Bankshares, Inc.",35.35586,1.062059
RVYL,Ryvyl Inc.,3.91699,1.06204
HUDA,Hudson Acquisition I Corp.,9.98555,1.061534
CFFI,C&F Financial Corporation,64.27733,1.060872
IGIC,International General Insurance Holdings Ltd.,12.14529,1.060493
GAIN,Gladstone Investment Corporation,13.42951,1.059607
